split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
valid,Sri-Lanka_236628,Sri-Lanka,False,,,0.4288123343772585,0.4274733449045376,-0.0013389894727209306,0.6002360478839993,0.5989230501997569,0.00045752865321250477,0.0003517972417558335,-0.00010573141145667127,238,183,520186,0.010871970153580884,0.010208207765256999
test,Sri-Lanka_450918,Sri-Lanka,False,,,0.48054280582718023,0.4409496753246753,-0.0395931305025049,0.6491440894999326,0.6120264751443458,0.0009321705821227002,0.0008302940157704924,-0.00010187656635220774,183,163,196316,0.0316970320602062,0.028488993805863245
valid,Nigeria_820924,Nigeria,False,,,0.4436008676789588,0.42044198895027624,-0.023158878728682553,0.6145755071374905,0.5919875534811356,0.0004147149264884348,0.000313425105733195,-0.00010128982075523983,217,164,523251,0.005668661760947269,0.005321522985546057
valid,Somalia_649376,Somalia,False,,,0.5863082738345233,0.5828432075742361,-0.0034650662602871973,0.7392110140323008,0.7364509697299257,0.0012217254449727298,0.0011272012325957293,-9.452421237700044e-05,517,477,423172,0.02871980890856312,0.027331497833393323
test,Mekong_424793,Mekong,False,,,0.5499157145532871,0.5345413363533409,-0.015374378199946248,0.7096072507552871,0.6966789667896679,0.0006188574998157008,0.0005257378760189809,-9.311962379671991e-05,319,271,515466,0.016526943327904303,0.015965986684049874
test,Ghana_319168,Ghana,False,,,0.7759608299859767,0.7614327443374994,-0.014528085648477296,0.8738490364025696,0.8645606785558939,0.0037329055922817904,0.003641499531175364,-9.140606110642638e-05,1266,1235,339146,0.20509369318976367,0.1983813452663963
bolivia,Bolivia_60373,Bolivia,False,,,0.599314068884997,0.6311126860382708,0.0317986171532737,0.7494638864808141,0.7738431457744949,0.002600697072084075,0.0025100990183434414,-9.05980537406338e-05,976,942,375284,0.04741758324582075,0.05293464443093373
valid,India_764946,India,False,,,0.6005800158186132,0.5954260822216172,-0.005153933596996008,0.750452973151046,0.7464163822525596,0.00022524636320976068,0.0001355649408206893,-8.968142238907138e-05,108,65,479475,0.012061756191701512,0.011191660274966804
valid,USA_308150,USA,False,,,0.6353393085787452,0.619475847893114,-0.01586346068563116,0.7770122142186032,0.7650325241948278,0.000599286618429216,0.0005128510484634636,-8.643556996575238e-05,312,267,520619,0.013277257687184909,0.01296049643739004
valid,USA_19225,USA,False,,,0.5474947807933194,0.5243506493506493,-0.023144131442670024,0.7075885328836424,0.6879659211927582,0.00034623588036689524,0.00026015513662926935,-8.608074373762589e-05,181,136,522765,0.00600483744210711,0.005440214861781918
test,USA_350244,USA,False,,,0.4720752498530276,0.43041691133294185,-0.04165833852008577,0.6413738019169329,0.6018062397372742,0.000413028762864125,0.000328893274132544,-8.413548873158102e-05,216,172,522966,0.004650541736609187,0.004391118571646574
test,Paraguay_280900,Paraguay,False,,,0.5285074917299085,0.5244097639055623,-0.004097727824346253,0.6915340547422024,0.6880168001050007,0.0010143967784289481,0.0009340106186289184,-8.038615980002976e-05,530,488,522478,0.034809378123307214,0.03300882727681943
